Statecode,State,District,Headquarters,Population1.0,Population(2011),Population,Area,Area(2011),Density,Exists?
28,Andhra Pradesh,Anantapur,Anantapur,"4,083,315",4081148,4491647,"19,130",19130,235,
28,Andhra Pradesh,Chittoor,Chittoor,"4,170,468",4174064,4587515,"15,152",15152.00015,303,
28,Andhra Pradesh,East Godavari,Kakinada,"5,151,549",5154296,5666704,"10,807",10807,524,
28,Andhra Pradesh,Guntur,Guntur,"4,889,230",4887813,5378153,"11,391",11391,472,
28,Andhra Pradesh,Y.S.R.,Kadapa,"2,884,524",2882469,3172976,"15,359",15359,207,
28,Andhra Pradesh,Krishna,Machilipatnam,"4,529,009",4517398,4981910,"8,727",8727,571,
28,Andhra Pradesh,Kurnool,Kurnool,"4,046,601",4053463,4451261,"17,658",17658,252,
28,Andhra Pradesh,Prakasam,Ongole,"3,392,764",3397448,3732040,"17,626",17626,212,
28,Andhra Pradesh,Sri Potti Sriramulu Nellore,Nellore,"2,966,082",2963557,3262690,"13,076",13076,250,
28,Andhra Pradesh,Srikakulam,Srikakulam,"2,699,471",2703114,2969418,"5,837",5837,509,
28,Andhra Pradesh,Visakhapatnam,Visakhapatnam,"4,288,113",4290589,4716924,"11,161",11161,423,
28,Andhra Pradesh,Vizianagaram,Vizianagaram,"2,342,868",2344474,2577155,"6,539",6539,394,
28,Andhra Pradesh,West Godavari,Eluru,"3,934,782",3936966,4328260,"7,742",7742,559,
12,Arunachal Pradesh,Anjaw,Hawai,"21,089",21167,23198,"6,190",6190,4,
12,Arunachal Pradesh,Changlang,Changlang,"147,951",148226,162746,"4,662",4662,35,
12,Arunachal Pradesh,East Kameng,Seppa,"78,413",78690,86254,"4,134",4134,21,
12,Arunachal Pradesh,East Siang,Pasighat,"99,019",99214,108921,"3,603",3603.003769,30,
12,Arunachal Pradesh,Kamle,Raga,"22,256",,24482,200,,122,
12,Arunachal Pradesh,Kra Daadi,Jamin,N/A,,N/A,N/A,,N/A,
12,Arunachal Pradesh,Kurung Kumey,Koloriang,"89,717",92076,98689,"6,040",6040,16,
12,Arunachal Pradesh,Lepa Rada,Basar,N/A,,N/A,N/A,,N/A,
12,Arunachal Pradesh,Lohit,Tezu,"145,538",145726,160092,"2,402",5212,67,
12,Arunachal Pradesh,Longding,Longding,"60,000",,66000,"1,200",,55,
12,Arunachal Pradesh,Lower Dibang Valley,Roing,"53,986",54080,59385,"3,900",3899.998203,15,
12,Arunachal Pradesh,Lower Siang,Likabali,"80,597",,88657,N/A,,N/A,
12,Arunachal Pradesh,Lower Subansiri,Ziro,"82,839",83030,91123,"3,508",3508,26,
12,Arunachal Pradesh,Namsai,Namsai,"95,950",,105545,"1,587",,67,
12,Arunachal Pradesh,Pakke Kessang,Lemmi,N/A,,N/A,N/A,,N/A,
12,Arunachal Pradesh,Papum Pare,Yupia,"176,385",176573,194024,"2,875",3462,67,
12,Arunachal Pradesh,Shi Yomi,Tato,"13,310",,14641,"2,875",,5,
12,Arunachal Pradesh,Siang,Pangin,"31,920",,35112,"2,919",,12,
12,Arunachal Pradesh,Tawang,Tawang Town,"49,950",49977,54945,"2,085",2172,26,
12,Arunachal Pradesh,Tirap,Khonsa,"111,997",111975,123197,"2,362",2362,52,
12,Arunachal Pradesh,Upper Dibang Valley,Anini,"7,948",,8743,"9,129",,1,
12,Arunachal Pradesh,Upper Siang,Yingkiong,"35,289",35320,38818,"6,188",6590,6,
12,Arunachal Pradesh,Upper Subansiri,Daporijo,"83,205",83448,91526,"7,032",7032,13,
12,Arunachal Pradesh,West Kameng,Bomdila,"87,013",83947,95714,"7,422",7422,13,
12,Arunachal Pradesh,West Siang,Along,"112,272",112274,123499,"8,325",8325,15,
18,Assam,Baksa,Mushalpur,"953,773",950075,1049150,"2,008",2457,522,
18,Assam,Barpeta,Barpeta,"1,693,190",1693622,1862509,"3,245",2282,574,
18,Assam,Biswanath,Bishwanath Chariali,"612,491",,673740,"1,100",,612,
18,Assam,Bongaigaon,Bongaigaon,"732,639",738804,805903,"1,724",1093,467,
18,Assam,Cachar,Silchar,"1,736,319",1736617,1909951,"3,786",3786,504,
18,Assam,Charaideo,Sonari,N/A,,N/A,N/A,,N/A,
18,Assam,Chirang,Kajalgaon,"481,818",482162,530000,"1,975",1923,268,
18,Assam,Darrang,Mangaldoi,"908,090",928500,998899,"1,849",1585,540,
18,Assam,Dhemaji,Dhemaji,"688,077",686133,756885,"3,237",3237,234,
18,Assam,Dhubri,Dhubri,"1,948,632",1949258,2143495,"2,838",2176,755,
18,Assam,Dibrugarh,Dibrugarh,"1,327,748",1326335,1460523,"3,381",3381,432,
18,Assam,Dima Hasao,Haflong,"213,529",214102,234882,"4,888",4888,48,
